rank,domain,form_fingerprint,homepage_final_url,contact_final_url,selected_contact_link,form_action,form_method,field_count,required_field_count,required_high_risk_identity,third_party_script_host_count,third_party_script_hosts,tracker_hosts,observed_request_count_after_input,canary_request_count,canary_hosts,third_party_canary_hosts,canary_request_details,leaked_before_submit,https_page,https_action,post_method,no_third_party_scripts,no_observed_pre_submit_leak,no_required_high_risk_identity,csp_present,csp_restricts_form_action,csp_restricts_framing,privacy_notice_linked,retention_disclosed,encryption_disclosed,protected_transport_tier,privacy_respecting_tier,hardened_tier,full_observable_standard
6,microsoft.com,4e60ef1bd58c,https://www.microsoft.com/en-us,https://support.microsoft.com/contactus,https://support.microsoft.com/contactus,https://support.microsoft.com/contactus,get,1,0,,3,ajax.aspnetcdn.com|js.monitor.azure.com|mem.gfx.ms,,1,0,,,,false,true,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false
45,skype.com,77d623a44bb4,https://teams.live.com/free?source=skype,https://support.microsoft.com/en-US/teams/free/microsoft-teams-free-help,https://support.microsoft.com/office/microsoft-teams-free-help-08fd2b61-1c3e-47e2-821b-d312709b933d,javascript:void(0);,get,13,0,,2,js.monitor.azure.com|mem.gfx.ms,,0,0,,,,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false
88,workers.dev,76afc28cd824,https://www.cloudflare.com/,https://www.cloudflare.com/resource/contact-enterprise-sales/,https://www.cloudflare.com/resource/contact-enterprise-sales/,https://www.cloudflare.com/resource/contact-enterprise-sales/,get,10,5,Phone: *,7,cdn.bizible.com|js.adsrvr.org|munchkin.marketo.net|static.ads-twitter.com|static.cloudflareinsights.com|tag.demandbase.com|www.googletagmanager.com,,0,0,,,,false,true,true,false,false,true,false,true,true,true,true,false,false,false,false,false,false
116,b-cdn.net,94fa0360e621,https://bunny.net/,https://bunny.net/contact/,https://bunny.net/contact/,https://bunny.net/contact/?type=support,get,8,5,,2,posthog2.fluffleinfra.net|widget.trustpilot.com,,0,0,,,,false,true,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false
190,cnn.com,eb009455bba4,https://www.cnn.com/,https://www.cnn.com/,,https://www.cnn.com/,get,18,0,,4,accounts.google.com|cdn.optimizely.com|js.stripe.com|registry.api.cnn.io,,0,0,,,,false,true,true,false,false,true,true,true,false,true,true,true,false,false,false,false,false
230,nist.gov,c1ce10a7ae1c,https://www.nist.gov/,https://www.nist.gov/contact,https://www.nist.gov/contact,https://www.nist.gov/contact,post,24,11,,4,challenges.cloudflare.com|js-agent.newrelic.com|static.cloudflareinsights.com|www.googletagmanager.com,,0,0,,,,false,true,true,true,false,true,true,true,false,true,true,false,false,true,false,false,false
234,ubuntu.com,d77b261a2fee,https://ubuntu.com/,https://ubuntu.com/,,https://ubuntu.com/marketo/submit,post,62,11,,2,jspm.dev|www.googletagmanager.com,,0,0,,,,false,true,true,true,false,true,true,true,false,true,true,false,false,true,false,false,false
240,stripe.com,2e0a0f9f4a9e,https://stripe.com/,https://stripe.com/contact/sales,https://stripe.com/contact/sales,https://stripe.com/-api/form,post,204,16,email|phone|phone,1,b.stripecdn.com,,4,0,,,,false,true,true,true,false,true,false,true,true,true,true,false,false,true,false,false,false
245,meraki.com,0787a41f3002,https://meraki.cisco.com/,https://www.cisco.com/site/us/en/about/contact-cisco/meraki/index.html,https://meraki.cisco.com/form/contact/,https://engage2demand.cisco.com/e/f2,post,64,0,,3,cdn.cookielaw.org|rum.hlx.page|s.go-mpulse.net,,9,3,cdfvse.cisco.com,,GET cdfvse.cisco.com/ex/val/se Fetch matched=email|OPTIONS cdfvse.cisco.com/ex/val/se Other matched=email|GET cdfvse.cisco.com/ex/val/se Fetch matched=email,false,true,true,true,false,true,true,true,false,true,true,false,false,true,false,false,false
292,www.gov.uk,46c8a54e4e96,https://www.gov.uk/,https://www.gov.uk/contact/govuk,https://www.gov.uk/contact/govuk,https://www.gov.uk/contact/govuk,post,10,0,,0,,,0,0,,,,false,true,true,true,true,true,true,true,false,true,true,false,false,true,true,false,false
